,timeoffset,hr,spd,pwr,cad,dist,lat,lon,alt,temp,prueba,dist_c,ele_gain,porc,spd_c,bearing,wind,mult,viento_aparente,spd_prev,ele_prev,timeoffset_prev,new_ele,time_seg,tramo,tramos_100,altura,peso,tpo_bici,tpo_entreno
57,27955,,8.69999980926514,200.800064,91.0,829.0,40.520832,-3.937864,630.0,21.8999996185303,20180406_LEVS_195_90_R_E,18.076287906982333,0.6099967999999762,3.3745689554123146,9.038143953491167,347.96461716174167,77.96461716174167,0.20851570327643923,2.0851570327643922,8.710878340215706,629.3900032,27953,629.4413401913914,90,0,8,195,90,R,E
58,27957,,8.69999980926514,184.043483100211,91.0,846.0,40.52098,-3.937907,630.0,21.8999996185303,20180406_LEVS_195_90_R_E,17.1105994293212,0.0,0.0,8.5552997146606,337.43716356481167,67.43716356481167,0.38369642318768804,3.8369642318768804,9.038143953491167,630.0,27955,629.4918252668984,92,1,8,195,90,R,E
59,27959,,8.69999980926514,186.739138500352,90.0,863.0,40.52113,-3.937953,630.0,21.8999996185303,20180406_LEVS_195_90_R_E,17.418049888597423,0.0,0.0,8.709024944298712,336.31874224964645,66.31874224964645,0.4016482291343598,4.016482291343598,8.5552997146606,630.0,27957,629.6068800453064,94,1,8,195,90,R,E
60,27961,,8.69999980926514,207.049984,91.0,880.0,40.521279,-3.938011,630.0,21.8609991497559,20180406_LEVS_195_90_R_E,17.747137810416287,0.0,0.0,8.873568905208144,330.89440590316457,60.89440590316457,0.48642068921320836,4.864206892132083,8.709024944298712,630.0,27959,629.7027527320832,96,1,8,195,90,R,E
61,27963,,8.69999980926514,182.0,93.0,897.0,40.521428,-3.938075,630.0,21.7999992370605,20180406_LEVS_195_90_R_E,17.997545147997478,0.0,0.0,8.998772573998739,328.43562896477306,58.43562896477306,0.5234561644804024,5.234561644804025,8.873568905208144,630.0,27961,629.8054679602393,98,1,8,195,90,R,E
62,27965,,8.69999980926514,213.8299904,91.0,915.0,40.521575,-3.938147,630.0,21.7999992370605,20180406_LEVS_195_90_R_E,18.1635281893891,0.0,0.0,9.08176409469455,324.98540216027254,54.98540216027254,0.5737851215909039,5.737851215909039,8.998772573998739,630.0,27963,629.85338464616,100,1,8,195,90,R,E
63,27967,,8.69999980926514,193.703001039211,90.0,932.0,40.521719,-3.938222,630.0,21.7613855257079,20180406_LEVS_195_90_R_E,18.014955758664154,0.0,0.0,9.007477879332077,323.3126035688104,53.3126035688104,0.5974487629041042,5.974487629041042,9.08176409469455,630.0,27965,629.8857755762872,102,1,9,195,90,R,E
64,27969,,8.69999980926514,182.114249142857,89.0,948.878610285714,40.521859,-3.938312,630.0,21.7000007629395,20180406_LEVS_195_90_R_E,18.460527513285346,0.0,0.0,9.230263756642673,317.39658670466224,47.39658670466224,0.6769198201714249,6.769198201714249,9.007477879332077,630.0,27967,629.9107196021935,104,1,9,195,90,R,E
65,27971,,8.69999980926514,213.890996882366,89.0,966.0,40.521991,-3.938415,630.0,21.7000007629395,20180406_LEVS_195_90_R_E,18.56426533979587,0.0,0.0,9.282132669897935,311.8522594675248,41.85225946752479,0.7448677455615029,7.448677455615029,9.230263756642673,630.0,27969,629.8933155885329,106,2,9,195,90,R,E
66,27973,,8.69999980926514,195.4199296,89.0,984.0,40.522125,-3.938524,630.0,21.661000294165,20180406_LEVS_195_90_R_E,19.1506490005296,0.0,0.0,9.5753245002648,310.6681374861213,40.66813748612128,0.7584968546393989,7.584968546393989,9.282132669897935,630.0,27971,629.8435260400494,108,2,9,195,90,R,E
67,27975,,8.69999980926514,207.391310800282,90.0,1001.0,40.522258,-3.938633,630.0,21.6000003814697,20180406_LEVS_195_90_R_E,19.064473104615928,0.0,0.0,9.532236552307964,310.45297736304644,40.45297736304644,0.7609387113630981,7.609387113630981,9.5753245002648,630.0,27973,629.8112293428284,110,2,9,195,90,R,E
68,27977,,8.69999980926514,214.320569066766,90.0,1018.0,40.522381,-3.938752,630.0,21.6000003814697,20180406_LEVS_195_90_R_E,18.96730383960418,0.0,0.0,9.48365191980209,305.83703554294374,35.83703554294374,0.8106855375174198,8.106855375174199,9.532236552307964,630.0,27975,629.7954142722768,112,2,10,195,90,R,E
69,27979,,8.69999980926514,208.6,88.0,1035.0,40.522503,-3.938874,630.0,21.6000003814697,20180406_LEVS_195_90_R_E,19.120080174978284,0.0,0.0,9.560040087489142,304.9394233671806,34.93942336718061,0.8197580067449015,8.197580067449016,9.48365191980209,630.0,27977,629.8114918911921,114,3,10,195,90,R,E
70,27981,,8.60000038146973,172.764716955087,90.0,1052.0,40.522621,-3.938996,630.0,21.5,20180406_LEVS_195_90_R_E,18.8078927180877,0.0,0.0,9.40394635904385,304.0446903575695,34.04469035756949,0.8286011533656135,8.286011533656135,9.560040087489142,630.0,27979,629.8197412975616,116,3,10,195,90,R,E
71,27983,,8.60000038146973,173.347827700071,88.0,1070.0,40.522741,-3.939128,630.0,21.5,20180406_LEVS_195_90_R_E,19.76528317414185,0.0,0.0,9.882641587070925,302.4138244433683,32.4138244433683,0.8441986155364396,8.441986155364397,9.40394635904385,630.0,27981,629.8352657596719,118,3,10,195,90,R,E
72,27985,,8.60000038146973,204.919239617387,87.0,1087.0,40.522854,-3.939268,629.824312870808,21.4824312200614,20180406_LEVS_195_90_R_E,19.928810087932074,-0.1756871291920561,-0.8815736033253874,9.964405043966037,299.40880261131355,29.408802611313547,0.8711383810612303,8.711383810612304,9.882641587070925,630.0,27983,629.8336693660582,120,4,10,195,90,R,E
73,27987,,8.60000038146973,219.4801024,87.0,1103.0,40.522962,-3.9394,629.0,21.3999996185303,20180406_LEVS_195_90_R_E,18.89234425066163,-0.8243128708079439,-4.3632111498236945,9.446172125330815,299.73957419664214,29.73957419664214,0.8682890939506298,8.682890939506297,9.964405043966037,629.824312870808,27985,629.8682127351373,122,5,10,195,90,R,E
74,27989,,8.60000038146973,246.764705882353,86.0,1120.0,40.523075,-3.939531,629.0,21.3999996185303,20180406_LEVS_195_90_R_E,19.165951521737714,0.0,0.0,9.582975760868857,301.05785609107363,31.05785609107363,0.856646789006151,8.56646789006151,9.446172125330815,629.0,27987,629.9128407854245,124,5,11,195,90,R,E
75,27991,,8.60000038146973,220.0,85.0,1136.0,40.523181,-3.939662,630.0,21.3609991497559,20180406_LEVS_195_90_R_E,18.666165795089654,1.0,5.3572866060316535,9.333082897544827,299.4601467124348,29.460146712434778,0.8706980009552724,8.706980009552725,9.582975760868857,629.0,27989,629.9254865738518,126,5,11,195,90,R,E
76,27993,,8.5,237.198147162446,84.0,1152.0,40.523287,-3.93979,630.0,21.2999992370605,20180406_LEVS_195_90_R_E,18.409907122891585,0.0,0.0,9.204953561445793,300.0286644172031,30.028664417203117,0.8657751511875782,8.657751511875782,9.333082897544827,630.0,27991,629.9608573508998,128,5,11,195,90,R,E
77,27995,,8.39999961853027,232.304344599859,84.0,1168.0,40.523389,-3.939916,630.0,21.2999992370605,20180406_LEVS_195_90_R_E,17.95692301273184,0.0,0.0,8.97846150636592,299.4647927054415,29.464792705441482,0.870658117612495,8.70658117612495,9.204953561445793,630.0,27993,630.0169306673826,130,5,11,195,90,R,E
78,27997,,8.37941046169505,245.308837647059,83.0,1184.0,40.523494,-3.940041,630.0,21.2897048059082,20180406_LEVS_195_90_R_E,18.084281042794185,0.0,0.0,9.042140521397092,300.3769132954218,30.376913295421787,0.8627174999260422,8.627174999260422,8.97846150636592,630.0,27995,630.0916840741137,132,5,11,195,90,R,E
